日付タイプ,model,延べ台日,平均差枚,勝率%
ゾロ目/0,L無職転生～異世界行ったら本気だす～,18,-745.8,27.8
ゾロ目/0,スマスロ北斗の拳 転生の章2,51,-33.1,27.5
ゾロ目/0,Lパチスロ かぐや様は告らせたい,41,-620.0,26.8
ゾロ目/0,忍魂参～奥義皆伝ノ章～,15,-649.6,26.7
ゾロ目/0,スマスロ ゴッドイーター リザレクション,48,126.4,25.0
ゾロ目/0,スマスロ バイオハザードRE:3,35,-339.6,22.9
ゾロ目/0,Lスマスロ北斗の拳,9,-625.7,22.2
ゾロ目/0,スロット ワールドダイスター,14,-1177.0,21.4
ゾロ目/0,スマスロ ビッグドリーム THE GOLDEN PUSHER,10,-933.4,0.0
曜:土,パチスロ頭文字Ｄ,8,407.5,62.5
曜:土,真打 吉宗,22,1145.1,54.5
曜:土,パチスロ　甲鉄城のカバネリ,35,499.4,54.3
曜:土,Lパチスロ炎炎ノ消防隊2,33,836.1,51.5
曜:土,スマスロ化物語,40,507.5,50.0
曜:土,スマスロモンキーターンV,51,198.8,49.0
曜:土,この素晴らしい世界に祝福を！,31,327.7,48.4
曜:土,L戦国乙女5 業火を穿つ宿焔の双刃,44,1318.7,47.7
曜:土,ファンキージャグラー２ＫＴ,55,261.5,47.3
曜:土,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,44,117.7,45.5
曜:土,ゴーゴージャグラー３,77,78.2,45.5
曜:土,スマスロ バイオハザードRE:3,31,264.3,45.2
曜:土,Lパチスロ革命機ヴァルヴレイヴ,84,935.5,44.0
曜:土,スマスロ やじきた道中記参る！,21,-156.6,42.9
曜:土,L東京喰種,77,-25.8,41.6
曜:土,Lパチスロからくりサーカス,51,213.9,41.2
曜:土,スマスロ モンスターハンターライズ,37,-6.5,40.5
曜:土,マイジャグラーV,121,-1.1,40.5
曜:土,L無職転生～異世界行ったら本気だす～,18,-64.9,38.9
曜:土,Lパチスロからくりサーカス2,62,-177.4,38.7
曜:土,スマスロ ゴッドイーター リザレクション,44,28.5,38.6
曜:土,スマスロ とある魔術の禁書目録2,21,-978.9,38.1
曜:土,スマスロ新鬼武者3,37,-51.2,37.8
曜:土,ヤバチバ,27,-996.0,37.0
曜:土,スロット ソードアート・オンラインⅡ,33,-1333.5,36.4
曜:土,ウルトラミラクルジャグラー,33,-49.9,36.4
曜:土,スマスロ 甲鉄城のカバネリ 海門決戦,77,-170.5,36.4
曜:土,スマスロ北斗の拳 転生の章2,46,-200.3,34.8
曜:土,Lパチスロ革命機ヴァルヴレイヴ2,110,43.0,34.5
曜:土,L真・一騎当千,27,17.3,33.3
曜:土,スマスロ 攻殻機動隊,33,273.4,33.3
曜:土,Lソードアート・オンライン,22,-628.6,31.8
曜:土,Lゴジラ対エヴァンゲリオン,16,781.5,31.2
曜:土,回胴式遊技機グランベルム,33,-499.4,30.3
曜:土,スマスロ リコリス・リコイル,10,-215.5,30.0
曜:土,スロット ワールドダイスター,14,-831.1,28.6
曜:土,スマスロ ミリオンゴッド-神々の軌跡-,33,-1038.5,27.3
曜:土,スマスロ 東京リベンジャーズ,33,-372.1,27.3
曜:土,忍魂参～奥義皆伝ノ章～,12,-776.0,25.0
曜:土,Lパチスロ かぐや様は告らせたい,37,-508.0,24.3
曜:土,L戦国乙女４　戦乱に閃く炯眼の軍師,22,-902.1,22.7
曜:土,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,12,-676.0,16.7
曜:土,スマスロ ストリートファイター6,14,-1239.6,14.3
曜:土,スマスロ ビッグドリーム THE GOLDEN PUSHER,10,-1099.2,0.0
曜:日,真打 吉宗,20,926.5,60.0
曜:日,Lパチスロからくりサーカス2,56,1496.7,53.6
曜:日,L戦国乙女5 業火を穿つ宿焔の双刃,40,425.4,52.5
曜:日,この素晴らしい世界に祝福を！,29,414.8,51.7
曜:日,スマスロ 甲鉄城のカバネリ 海門決戦,70,111.3,48.6
曜:日,回胴式遊技機グランベルム,30,137.2,46.7
曜:日,スマスロ 攻殻機動隊,30,363.0,46.7
曜:日,ウルトラミラクルジャグラー,30,297.9,46.7
曜:日,ファンキージャグラー２ＫＴ,50,159.8,44.0
曜:日,L無職転生～異世界行ったら本気だす～,16,-236.2,43.8
曜:日,Lパチスロ革命機ヴァルヴレイヴ,76,488.9,43.4
曜:日,L東京喰種,70,464.0,42.9
曜:日,スマスロ ゴッドイーター リザレクション,40,469.9,42.5
曜:日,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,12,-313.2,41.7
曜:日,ゴーゴージャグラー３,70,102.6,41.4
曜:日,L真・一騎当千,27,-346.9,40.7
曜:日,Lパチスロ炎炎ノ消防隊2,30,373.4,40.0
曜:日,L戦国乙女４　戦乱に閃く炯眼の軍師,20,-32.7,40.0
曜:日,スマスロ やじきた道中記参る！,18,-208.2,38.9
曜:日,スマスロ新鬼武者3,34,-14.8,38.2
曜:日,Lパチスロ かぐや様は告らせたい,34,474.4,38.2
曜:日,パチスロ頭文字Ｄ,8,-149.5,37.5
曜:日,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,40,-244.1,37.5
曜:日,パチスロ　甲鉄城のカバネリ,31,330.6,35.5
曜:日,Lソードアート・オンライン,20,171.0,35.0
曜:日,Lパチスロからくりサーカス,46,106.4,34.8
曜:日,スマスロモンキーターンV,46,103.7,34.8
曜:日,マイジャグラーV,110,-202.1,33.6
曜:日,スマスロ ミリオンゴッド-神々の軌跡-,30,-447.9,33.3
曜:日,スマスロ ストリートファイター6,12,-170.8,33.3
曜:日,スマスロ北斗の拳 転生の章2,43,75.1,32.6
曜:日,スマスロ モンスターハンターライズ,34,343.0,32.4
曜:日,Lゴジラ対エヴァンゲリオン,16,-125.3,31.2
曜:日,スマスロ化物語,36,-453.6,30.6
曜:日,Lパチスロ革命機ヴァルヴレイヴ2,100,-476.1,30.0
曜:日,スマスロ 東京リベンジャーズ,30,-18.5,30.0
曜:日,スマスロ バイオハザードRE:3,31,98.6,29.0
曜:日,スロット ワールドダイスター,12,-296.0,25.0
曜:日,スロット ソードアート・オンラインⅡ,30,-1943.5,23.3
曜:日,ヤバチバ,27,-561.8,22.2
曜:日,スマスロ とある魔術の禁書目録2,18,-696.3,22.2
曜:日,忍魂参～奥義皆伝ノ章～,12,-936.0,8.3
曜:日,スマスロ ビッグドリーム THE GOLDEN PUSHER,8,-1644.2,0.0
曜:月,スマスロ ストリートファイター6,12,1209.2,66.7
曜:月,ウルトラミラクルジャグラー,30,470.1,50.0
曜:月,スマスロ 甲鉄城のカバネリ 海門決戦,70,696.3,50.0
曜:月,この素晴らしい世界に祝福を！,28,-67.1,50.0
曜:月,真打 吉宗,20,-160.3,50.0
曜:月,スロット ソードアート・オンラインⅡ,30,542.6,50.0
曜:月,パチスロ　甲鉄城のカバネリ,32,446.3,46.9
曜:月,Lパチスロからくりサーカス2,56,409.7,46.4
曜:月,Lパチスロ革命機ヴァルヴレイヴ,76,851.2,46.1
曜:月,スマスロ やじきた道中記参る！,18,-183.2,44.4
曜:月,Lゴジラ対エヴァンゲリオン,16,356.6,43.8
曜:月,スマスロ 攻殻機動隊,30,-90.5,43.3
曜:月,L東京喰種,70,313.1,42.9
曜:月,マイジャグラーV,110,-51.4,41.8
曜:月,スマスロ新鬼武者3,34,281.2,38.2
曜:月,パチスロ頭文字Ｄ,8,203.8,37.5
曜:月,スマスロ ミリオンゴッド-神々の軌跡-,30,-236.6,36.7
曜:月,Lソードアート・オンライン,20,-218.9,35.0
曜:月,L真・一騎当千,24,280.6,33.3
曜:月,Lパチスロ炎炎ノ消防隊2,30,-538.4,33.3
曜:月,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,12,-233.2,33.3
曜:月,スマスロ 東京リベンジャーズ,30,-128.0,33.3
曜:月,ファンキージャグラー２ＫＴ,50,-46.7,32.0
曜:月,ゴーゴージャグラー３,70,-121.9,31.4
曜:月,スマスロ北斗の拳 転生の章2,42,513.7,31.0
曜:月,Lパチスロ革命機ヴァルヴレイヴ2,100,-430.6,30.0
曜:月,スマスロ リコリス・リコイル,10,-804.5,30.0
曜:月,ヤバチバ,24,-329.1,29.2
曜:月,スマスロモンキーターンV,46,-303.1,28.3
曜:月,スマスロ とある魔術の禁書目録2,18,-123.3,27.8
曜:月,L戦国乙女5 業火を穿つ宿焔の双刃,40,-836.9,27.5
曜:月,Lパチスロ かぐや様は告らせたい,34,-63.7,26.5
曜:月,Lパチスロからくりサーカス,46,91.6,26.1
曜:月,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,40,-272.5,25.0
曜:月,スマスロ バイオハザードRE:3,28,-785.1,25.0
曜:月,L戦国乙女４　戦乱に閃く炯眼の軍師,20,-618.1,25.0
曜:月,L無職転生～異世界行ったら本気だす～,16,-535.0,25.0
曜:月,スロット ワールドダイスター,12,-1874.0,25.0
曜:月,スマスロ ビッグドリーム THE GOLDEN PUSHER,8,246.2,25.0
曜:月,スマスロ モンスターハンターライズ,34,-505.8,23.5
