日付タイプ,model,延べ台日,平均差枚,勝率%
曜:月,ネオアイムジャグラーEX,20,-410.8,25.0
曜:月,スマスロ ストリートファイター6,8,-541.2,25.0
曜:木,Lパチスロうみねこのなく頃に2,52,296.8,53.8
曜:木,戦国コレクション6,80,534.1,52.5
曜:木,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,39,362.1,51.3
曜:木,スマスロ 七つの魔剣が支配する,30,1023.5,50.0
曜:木,スマスロBIRDIE WING-Golf Girls’ Story-,14,1672.4,50.0
曜:木,スマスロ ストリートファイター6,8,179.8,50.0
曜:木,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,645,523.3,48.1
曜:木,スマスロ 甲鉄城のカバネリ 海門決戦,221,250.5,48.0
曜:木,スマスロ とある魔術の禁書目録2,68,151.8,47.1
曜:木,Lソードアート・オンライン,240,495.9,46.7
曜:木,スマスロ 攻殻機動隊,84,863.3,46.4
曜:木,L邪神ちゃんドロップキック,24,304.8,45.8
曜:木,L戦国乙女5 業火を穿つ宿焔の双刃,348,419.5,45.7
曜:木,真打 吉宗,118,580.7,44.9
曜:木,L東京喰種,345,197.3,44.6
曜:木,ネオアイムジャグラーEX,25,9.8,44.0
曜:木,スマスロ スーパーリオエース2,189,521.0,43.9
曜:木,スロット ワールドダイスター,16,-15.0,43.8
曜:木,回胴式遊技機グランベルム,30,173.9,43.3
曜:木,Lバンドリ！,150,708.9,43.3
曜:木,Lタクトオーパス デスティニー,30,771.3,43.3
曜:木,Lパチスロ炎炎ノ消防隊2,186,242.1,42.5
曜:木,マイジャグラーV,125,-18.0,42.4
曜:木,スロット ソードアート・オンラインⅡ,212,145.7,42.0
曜:木,スマスロモンキーターンV,93,-71.5,40.9
曜:木,L ToLOVEるダークネス,630,100.5,39.2
曜:木,スマスロ スーパーブラックジャック,210,-41.0,39.0
曜:木,L無職転生～異世界行ったら本気だす～,105,326.9,39.0
曜:木,スマスロとある科学の超電磁砲2,88,217.3,38.6
曜:木,Lパチスロ革命機ヴァルヴレイヴ2,208,55.0,38.5
曜:木,Lアズールレーン THE ANIMATION,120,192.7,38.3
曜:木,Lパチスロ かぐや様は告らせたい,37,-170.1,37.8
曜:木,スマスロヨルムンガンド,24,235.3,37.5
曜:木,スマスロ やじきた道中記参る！,8,1046.2,37.5
曜:木,スマスロ化物語,255,194.6,37.3
曜:木,Lパチスロガールズ＆パンツァー 最終章,105,231.8,36.2
曜:木,スマスロ ミリオンゴッド-神々の軌跡-,134,358.0,35.8
曜:木,L少女☆歌劇 レヴュースタァライト -The SLOT-,96,-108.2,35.4
曜:木,スロット ゾンビランドサガ,90,70.5,34.4
曜:木,スマスロ バイオハザードRE:3,60,283.2,33.3
曜:木,アニマルスロット ドッチ,30,89.3,33.3
曜:木,スマスロ とんでもスキルで異世界放浪メシ,24,362.0,33.3
曜:木,L虚構推理,97,-214.9,33.0
曜:木,L戦国乙女４　戦乱に閃く炯眼の軍師,72,342.8,27.8
曜:木,スマスロ ゴッドイーター リザレクション,12,51.7,25.0
曜:木,L南国育ち SPECIAL,8,-753.8,25.0
曜:木,スマスロ シャーマンキング,30,84.8,23.3
曜:水,L南国育ち SPECIAL,8,2624.8,75.0
曜:水,スマスロ とんでもスキルで異世界放浪メシ,24,2201.0,54.2
曜:水,Lソードアート・オンライン,224,392.6,49.6
曜:水,L東京喰種,321,282.5,48.9
曜:水,スマスロ とある魔術の禁書目録2,68,512.0,48.5
曜:水,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,34,-77.4,47.1
曜:水,スマスロ 甲鉄城のカバネリ 海門決戦,207,293.1,46.9
曜:水,戦国コレクション6,80,683.5,46.2
曜:水,Lパチスロうみねこのなく頃に2,48,121.3,45.8
曜:水,L邪神ちゃんドロップキック,24,-93.5,45.8
曜:水,ネオアイムジャグラーEX,20,258.0,45.0
曜:水,マイジャグラーV,120,233.2,45.0
曜:水,スマスロ スーパーブラックジャック,196,627.9,44.9
曜:水,L戦国乙女5 業火を穿つ宿焔の双刃,348,-63.2,44.8
曜:水,スロット ソードアート・オンラインⅡ,212,120.3,44.8
曜:水,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,602,382.9,44.7
曜:水,L ToLOVEるダークネス,588,675.7,44.6
曜:水,スマスロ 攻殻機動隊,79,542.3,44.3
曜:水,Lパチスロ革命機ヴァルヴレイヴ2,191,930.3,44.0
曜:水,スロット ワールドダイスター,16,-19.5,43.8
曜:水,L戦国乙女４　戦乱に閃く炯眼の軍師,58,195.3,43.1
曜:水,Lパチスロガールズ＆パンツァー 最終章,98,333.4,42.9
曜:水,Lバンドリ！,140,782.4,42.1
曜:水,L少女☆歌劇 レヴュースタァライト -The SLOT-,88,484.5,42.0
曜:水,Lパチスロ かぐや様は告らせたい,32,87.3,40.6
曜:水,真打 吉宗,108,-41.5,39.8
曜:水,スマスロとある科学の超電磁砲2,73,358.6,39.7
曜:水,スマスロ シャーマンキング,28,829.1,39.3
曜:水,回胴式遊技機グランベルム,28,-11.4,39.3
曜:水,スマスロ スーパーリオエース2,174,239.5,39.1
曜:水,スマスロ化物語,238,357.1,39.1
曜:水,L虚構推理,90,267.9,37.8
曜:水,スマスロヨルムンガンド,16,-29.5,37.5
曜:水,スマスロ やじきた道中記参る！,8,423.5,37.5
曜:水,スマスロ ストリートファイター6,8,-90.8,37.5
曜:水,スマスロモンキーターンV,86,199.1,37.2
曜:水,Lパチスロ炎炎ノ消防隊2,172,100.7,35.5
曜:水,Lアズールレーン THE ANIMATION,112,413.5,34.8
曜:水,スロット ゾンビランドサガ,84,561.2,34.5
曜:水,L無職転生～異世界行ったら本気だす～,98,4.7,33.7
曜:水,Lタクトオーパス デスティニー,28,124.4,32.1
曜:水,スマスロ ミリオンゴッド-神々の軌跡-,124,66.6,31.5
曜:水,スマスロ 七つの魔剣が支配する,28,-146.1,28.6
曜:水,スマスロBIRDIE WING-Golf Girls’ Story-,14,-375.9,28.6
曜:水,アニマルスロット ドッチ,28,-173.1,25.0
曜:水,スマスロ バイオハザードRE:3,50,-388.5,24.0
