日付タイプ,model,延べ台日,平均差枚,勝率%
曜:土,スマスロ ハナビ,131,45.3,44.3
曜:土,Lパチスロ革命機ヴァルヴレイヴ2,177,707.0,44.1
曜:土,ネオアイムジャグラーEX,990,89.6,44.1
曜:土,クランキークレスト,48,-15.9,43.8
曜:土,L少女☆歌劇 レヴュースタァライト -The SLOT-,32,66.6,43.8
曜:土,Lパチスロからくりサーカス2,96,52.8,43.8
曜:土,スマスロ 甲鉄城のカバネリ 海門決戦,421,103.1,43.7
曜:土,戦国コレクション6,30,183.3,43.3
曜:土,スマスロ秘宝伝,42,642.5,42.9
曜:土,ジャグラーガールズSS,150,153.0,42.7
曜:土,プリズムナナ,40,896.8,42.5
曜:土,ウルトラミラクルジャグラー,90,98.4,42.2
曜:土,真打 吉宗,138,-97.3,42.0
曜:土,Lアズールレーン THE ANIMATION,86,374.6,41.9
曜:土,Lスマスロ北斗の拳,263,284.1,41.4
曜:土,L主役は銭形5,34,-36.7,41.2
曜:土,スマスロ ゴッドイーター リザレクション,118,94.4,40.7
曜:土,スマスロ化物語,180,331.2,40.6
曜:土,L無職転生～異世界行ったら本気だす～,52,852.9,40.4
曜:土,スマスロ スーパーブラックジャック,89,139.7,40.4
曜:土,クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,20,-13.6,40.0
曜:土,Lパチスロ戦姫絶唱シンフォギア 正義の歌,20,-330.9,40.0
曜:土,スマスロ 沖ドキ!DUO アンコール,168,-140.1,39.3
曜:土,スマスロ スーパーリオエース2,77,38.3,39.0
曜:土,L範馬刃牙,18,-506.8,38.9
曜:土,Lパチスロ かぐや様は告らせたい,49,57.4,38.8
曜:土,L東京喰種,449,-362.8,38.8
曜:土,スマスロ ストリートファイター6,29,-332.7,37.9
曜:土,スマスロとある科学の超電磁砲2,53,-44.7,37.7
曜:土,Lパチスロからくりサーカス,8,1382.0,37.5
曜:土,スマスロ シャーマンキング,59,262.6,37.3
曜:土,ハッピージャグラーＶＩＩＩ,210,-75.7,37.1
曜:土,スマスロモンキーターンV,348,-0.9,37.1
曜:土,スマスロ北斗の拳 転生の章2,398,-118.0,36.9
曜:土,スマスロ とある魔術の禁書目録2,30,-541.2,36.7
曜:土,新ハナビ,52,-8.8,36.5
曜:土,Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE,22,-540.5,36.4
曜:土,スマスロ鉄拳6,83,-188.7,36.1
曜:土,スマスロ 東京リベンジャーズ,151,-40.8,35.8
曜:土,L戦国乙女４　戦乱に閃く炯眼の軍師,120,34.9,35.8
曜:土,スマスロ ビッグドリーム THE GOLDEN PUSHER,45,-1044.3,35.6
曜:土,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,93,-45.0,34.4
曜:土,Lパチスロ炎炎ノ消防隊2,210,-284.3,34.3
曜:土,スマスロ 攻殻機動隊,120,-283.1,34.2
曜:土,スマスロ新鬼武者3,107,-120.6,31.8
曜:土,スマスロ モンスターハンターライズ,105,-284.6,31.4
曜:土,Lタクトオーパス デスティニー,36,142.0,30.6
曜:土,いざ！番長,58,-207.8,29.3
曜:土,スマスロ ミリオンゴッド-神々の軌跡-,210,-1319.8,28.6
曜:土,スマート沖スロ ニューキングハナハナV,88,78.0,28.4
曜:土,スマスロヨルムンガンド,26,-284.4,26.9
曜:土,スマスロ リコリス・リコイル,15,-789.0,26.7
曜:土,スマスロ バイオハザードRE:3,91,-791.2,25.3
曜:土,スマスロBIRDIE WING-Golf Girls’ Story-,16,-1021.6,25.0
曜:日,スロット ワールドダイスター,18,687.5,61.1
曜:日,回胴式遊技機グランベルム,8,1007.5,50.0
曜:日,A-SLOT+ ディスクアップ ULTRAREMIX,92,364.9,47.8
曜:日,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,60,131.2,46.7
曜:日,スマスロ リコリス・リコイル,15,-152.0,46.7
曜:日,Lパチスロうみねこのなく頃に2,58,149.6,46.6
曜:日,新ハナビ,52,145.1,46.2
曜:日,マイジャグラーV,1290,177.9,46.2
曜:日,プリズムナナ,40,110.8,45.0
曜:日,Lソードアート・オンライン,121,103.8,43.8
曜:日,L少女☆歌劇 レヴュースタァライト -The SLOT-,32,176.9,43.8
曜:日,この素晴らしい世界に祝福を！,87,274.7,43.7
曜:日,沖ドキ！ＧＯＬＤ-30,270,-203.6,43.7
曜:日,スマスロ とある魔術の禁書目録2,30,73.8,43.3
曜:日,L ToLOVEるダークネス,14,697.1,42.9
曜:日,スマスロ サンダーV,56,170.3,42.9
曜:日,Lパチスロからくりサーカス2,96,209.2,42.7
曜:日,スマスロ 甲鉄城のカバネリ 海門決戦,421,242.0,42.5
曜:日,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,234,420.5,42.3
曜:日,ネオアイムジャグラーEX,990,116.4,42.3
曜:日,ウルトラミラクルジャグラー,90,20.6,42.2
曜:日,パチスロ　ディスクアップ２,144,20.4,41.7
曜:日,スマスロ ゴブリンスレイヤーⅡ,29,184.4,41.4
曜:日,マジカルハロウィン　～Trick or Treat!～,58,242.8,41.4
曜:日,L戦国乙女5 業火を穿つ宿焔の双刃,121,-333.0,41.3
曜:日,A-SLOT+異世界かるてっとBT,44,-213.7,40.9
曜:日,戦国コレクション6,30,-456.0,40.0
曜:日,Lパチスロ戦姫絶唱シンフォギア 正義の歌,20,-250.7,40.0
曜:日,スマスロとある科学の超電磁砲2,53,-40.5,39.6
曜:日,アレックス ブライト,110,-89.3,39.1
曜:日,真打 吉宗,138,-82.8,39.1
曜:日,ハッピージャグラーＶＩＩＩ,210,104.6,39.0
曜:日,L範馬刃牙,18,-348.6,38.9
曜:日,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,137,213.2,38.7
曜:日,ゴーゴージャグラー３,300,3.5,38.7
曜:日,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,93,301.2,38.7
曜:日,スマート沖スロ ニューキングハナハナV,88,145.0,38.6
曜:日,L無職転生～異世界行ったら本気だす～,52,622.4,38.5
曜:日,スマスロ化物語,180,112.1,38.3
曜:日,Lパチスロ炎炎ノ消防隊2,210,-82.3,38.1
曜:日,スマスロ やじきた道中記参る！,29,190.9,37.9
曜:日,Lパチスロからくりサーカス,8,-220.2,37.5
曜:日,スマスロ バイオハザードRE:3,91,74.5,37.4
曜:日,スマスロ シャーマンキング,59,-343.7,37.3
曜:日,Lアズールレーン THE ANIMATION,86,-75.8,37.2
曜:日,Lスマスロ北斗の拳,263,-94.7,36.9
曜:日,ファンキージャグラー２ＫＴ,150,-117.5,36.7
曜:日,沖ドキ!ゴージャス 30Φ,90,-265.1,36.7
曜:日,スマスロ スーパーリオエース2,77,-370.5,36.4
曜:日,スマスロ鉄拳6,83,-35.7,36.1
曜:日,Lタクトオーパス デスティニー,36,-12.8,36.1
曜:日,バーサスリヴァイズ,90,216.6,35.6
曜:日,ミスタージャグラー,90,-24.1,35.6
曜:日,Lパチスロ革命機ヴァルヴレイヴ2,177,-30.2,35.6
曜:日,パチスロ　甲鉄城のカバネリ,62,-149.4,35.5
曜:日,スマスロモンキーターンV,348,-83.3,35.1
曜:日,L東京喰種,449,-374.5,34.7
曜:日,スマスロヨルムンガンド,26,-262.4,34.6
曜:日,スマスロ北斗の拳 転生の章2,398,69.7,34.4
曜:日,スマスロ新鬼武者3,107,106.1,33.6
曜:日,スマスロ ハナビ,131,-137.2,33.6
曜:日,スマスロ 沖ドキ!DUO アンコール,168,-518.0,33.3
曜:日,L戦国乙女４　戦乱に閃く炯眼の軍師,120,-92.7,33.3
曜:日,L ＨＥＹ！エリートサラリーマン鏡,45,-187.0,33.3
曜:日,スマスロ スーパーブラックジャック,89,-94.1,32.6
曜:日,スロット ソードアート・オンラインⅡ,138,-699.2,32.6
曜:日,スマスロ モンスターハンターライズ,105,-63.5,32.4
曜:日,スマスロ ミリオンゴッド-神々の軌跡-,210,-968.7,32.4
曜:日,ジャグラーガールズSS,150,-230.0,32.0
曜:日,スマスロ 東京リベンジャーズ,151,28.4,31.8
曜:日,スマスロ ゴッドイーター リザレクション,118,-125.6,31.4
曜:日,スマスロBIRDIE WING-Golf Girls’ Story-,16,-365.0,31.2
曜:日,L南国育ち SPECIAL,20,-865.6,30.0
曜:日,L主役は銭形5,34,-258.5,29.4
曜:日,スマスロ ビッグドリーム THE GOLDEN PUSHER,45,-586.0,28.9
曜:日,スマスロ ストリートファイター6,29,-465.2,27.6
曜:日,スマスロ 攻殻機動隊,120,-334.3,26.7
曜:日,いざ！番長,58,-458.4,25.9
曜:日,クランキークレスト,48,-60.4,25.0
曜:日,Lパチスロ喰霊-零-Re,12,-1027.5,25.0
曜:日,Lパチスロ かぐや様は告らせたい,49,-538.3,24.5
曜:日,Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE,22,328.0,22.7
曜:日,スマスロ秘宝伝,42,-117.8,21.4
曜:日,クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,20,-149.1,15.0
曜:月,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,136,784.9,49.3
曜:月,プリズムナナ,38,465.3,47.4
曜:月,マジカルハロウィン　～Trick or Treat!～,60,480.9,46.7
曜:月,スマスロ サンダーV,58,-32.3,46.6
曜:月,この素晴らしい世界に祝福を！,88,375.0,45.5
曜:月,マイジャグラーV,1290,204.1,45.5
曜:月,沖ドキ！ＧＯＬＤ-30,270,-101.0,45.2
曜:月,Lパチスロうみねこのなく頃に2,56,178.1,44.6
曜:月,L戦国乙女5 業火を穿つ宿焔の双刃,130,214.5,44.6
曜:月,アレックス ブライト,108,14.4,43.5
曜:月,ウルトラミラクルジャグラー,90,32.2,43.3
曜:月,パチスロ　ディスクアップ２,143,82.6,42.7
曜:月,パチスロ　甲鉄城のカバネリ,61,385.7,42.6
曜:月,ネオアイムジャグラーEX,990,64.6,42.3
曜:月,バーサスリヴァイズ,90,38.5,41.1
曜:月,L南国育ち SPECIAL,22,637.8,40.9
曜:月,スマスロ とある魔術の禁書目録2,35,-21.1,40.0
曜:月,L ＨＥＹ！エリートサラリーマン鏡,48,206.1,39.6
曜:月,戦国コレクション6,33,465.5,39.4
曜:月,クランキークレスト,46,-69.7,39.1
曜:月,スマスロ鉄拳6,77,26.0,39.0
曜:月,スマスロ 甲鉄城のカバネリ 海門決戦,436,-20.5,39.0
曜:月,沖ドキ!ゴージャス 30Φ,90,-335.2,38.9
曜:月,Lスマスロ北斗の拳,255,-16.5,38.8
曜:月,スマスロ ストリートファイター6,31,-552.4,38.7
曜:月,スロット ワールドダイスター,21,-746.7,38.1
曜:月,スマスロ スーパーリオエース2,79,-2.5,38.0
曜:月,ゴーゴージャグラー３,300,-41.4,37.7
曜:月,スマスロモンキーターンV,348,197.7,37.1
曜:月,スマスロ ゴッドイーター リザレクション,116,243.0,37.1
曜:月,真打 吉宗,144,-427.5,36.8
曜:月,A-SLOT+ ディスクアップ ULTRAREMIX,90,55.2,36.7
曜:月,Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE,22,-442.2,36.4
曜:月,L東京喰種,451,-48.9,35.9
曜:月,スマスロ化物語,180,177.2,35.6
曜:月,Lソードアート・オンライン,121,445.6,35.5
曜:月,ジャグラーガールズSS,150,70.8,35.3
曜:月,ファンキージャグラー２ＫＴ,150,61.2,35.3
曜:月,ハッピージャグラーＶＩＩＩ,210,-8.7,34.8
曜:月,Lパチスロ革命機ヴァルヴレイヴ2,170,33.8,34.7
曜:月,スマスロ北斗の拳 転生の章2,388,7.2,34.5
曜:月,スマスロ秘宝伝,38,-22.8,34.2
曜:月,Lタクトオーパス デスティニー,38,547.9,34.2
曜:月,スロット ソードアート・オンラインⅡ,149,-47.3,34.2
曜:月,Lアズールレーン THE ANIMATION,85,632.3,34.1
曜:月,A-SLOT+異世界かるてっとBT,44,-138.3,34.1
曜:月,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,60,87.5,33.3
曜:月,新ハナビ,51,-63.3,33.3
曜:月,L ToLOVEるダークネス,12,-228.2,33.3
曜:月,スマスロ ビッグドリーム THE GOLDEN PUSHER,45,-469.5,33.3
曜:月,スマスロ やじきた道中記参る！,33,-472.1,33.3
曜:月,スマスロ 沖ドキ!DUO アンコール,168,-216.6,32.7
曜:月,Lパチスロ炎炎ノ消防隊2,205,-52.4,32.7
曜:月,スマスロ ハナビ,129,-174.8,32.6
曜:月,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,234,217.8,32.5
曜:月,ミスタージャグラー,90,-53.5,32.2
曜:月,スマスロ モンスターハンターライズ,104,211.7,31.7
曜:月,スマスロ新鬼武者3,102,-206.6,31.4
曜:月,スマスロBIRDIE WING-Golf Girls’ Story-,16,-539.5,31.2
曜:月,Lパチスロからくりサーカス2,100,-228.3,31.0
曜:月,L無職転生～異世界行ったら本気だす～,49,30.3,30.6
曜:月,スマスロ 攻殻機動隊,120,-152.0,30.0
曜:月,スマート沖スロ ニューキングハナハナV,84,-64.7,29.8
曜:月,L主役は銭形5,32,-34.1,28.1
曜:月,スマスロ ミリオンゴッド-神々の軌跡-,220,-672.0,27.7
曜:月,Lパチスロ かぐや様は告らせたい,44,-296.4,27.3
曜:月,L少女☆歌劇 レヴュースタァライト -The SLOT-,30,78.2,26.7
曜:月,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,87,-123.0,26.4
曜:月,L戦国乙女４　戦乱に閃く炯眼の軍師,124,-259.4,25.8
曜:月,Lパチスロ喰霊-零-Re,12,-151.8,25.0
曜:月,スマスロ 東京リベンジャーズ,146,-84.6,23.3
曜:月,スマスロ リコリス・リコイル,30,-816.0,23.3
曜:月,スマスロヨルムンガンド,26,-486.2,23.1
曜:月,スマスロ スーパーブラックジャック,87,72.2,23.0
曜:月,スマスロ シャーマンキング,57,-159.5,22.8
曜:月,クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,18,-279.7,22.2
曜:月,いざ！番長,55,-441.0,21.8
曜:月,スマスロ バイオハザードRE:3,91,-214.1,18.7
曜:月,スマスロとある科学の超電磁砲2,50,-304.6,18.0
曜:月,Lパチスロ戦姫絶唱シンフォギア 正義の歌,17,-188.8,17.6
曜:月,スマスロ ゴブリンスレイヤーⅡ,24,-252.5,16.7
曜:月,L範馬刃牙,16,-693.9,12.5
曜:月,L青春ブタ野郎はバニーガール先輩の夢を見ない,8,-2004.0,12.5
曜:木,スマスロ やじきた道中記参る！,29,35.7,51.7
曜:木,バーサスリヴァイズ,87,205.0,48.3
曜:木,沖ドキ！ＧＯＬＤ-30,261,-96.7,47.9
曜:木,L少女☆歌劇 レヴュースタァライト -The SLOT-,30,655.5,46.7
曜:木,A-SLOT+ ディスクアップ ULTRAREMIX,88,300.4,46.6
曜:木,マジカルハロウィン　～Trick or Treat!～,58,192.2,44.8
曜:木,スマスロBIRDIE WING-Golf Girls’ Story-,16,974.1,43.8
曜:木,マイジャグラーV,1247,163.8,43.7
曜:木,ミスタージャグラー,87,148.0,43.7
曜:木,この素晴らしい世界に祝福を！,85,197.1,43.5
曜:木,スマスロ とある魔術の禁書目録2,30,-68.8,43.3
曜:木,A-SLOT+異世界かるてっとBT,44,236.7,43.2
曜:木,スマスロ モンスターハンターライズ,102,44.9,42.2
曜:木,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,58,106.3,41.4
曜:木,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,226,383.3,41.2
曜:木,Lパチスロうみねこのなく頃に2,56,278.6,41.1
曜:木,スマスロ サンダーV,56,-225.1,41.1
曜:木,スマスロ 甲鉄城のカバネリ 海門決戦,422,132.0,41.0
曜:木,新ハナビ,49,45.1,40.8
曜:木,スマスロ ゴッドイーター リザレクション,114,8.1,40.4
曜:木,パチスロ　ディスクアップ２,139,96.7,40.3
曜:木,スマスロ リコリス・リコイル,15,285.0,40.0
曜:木,沖ドキ!ゴージャス 30Φ,87,-171.4,39.1
曜:木,スマスロ 攻殻機動隊,116,125.3,38.8
曜:木,ファンキージャグラー２ＫＴ,145,146.8,38.6
曜:木,Lスマスロ北斗の拳,247,-76.6,38.1
曜:木,アレックス ブライト,106,-24.8,37.7
曜:木,スマスロ北斗の拳 転生の章2,380,52.6,37.6
曜:木,L主役は銭形5,32,237.8,37.5
曜:木,L戦国乙女４　戦乱に閃く炯眼の軍師,117,549.5,36.8
曜:木,ネオアイムジャグラーEX,957,-26.9,36.1
曜:木,Lタクトオーパス デスティニー,36,71.2,36.1
曜:木,L東京喰種,438,-25.0,35.6
曜:木,ウルトラミラクルジャグラー,87,73.4,35.6
曜:木,Lアズールレーン THE ANIMATION,82,226.4,35.4
曜:木,スロット ソードアート・オンラインⅡ,138,-353.6,34.8
曜:木,スマスロモンキーターンV,335,99.2,34.6
曜:木,ハッピージャグラーＶＩＩＩ,203,-38.0,34.5
曜:木,スマート沖スロ ニューキングハナハナV,84,54.2,33.3
曜:木,L ToLOVEるダークネス,12,589.0,33.3
曜:木,戦国コレクション6,30,113.6,33.3
曜:木,Lパチスロ喰霊-零-Re,12,-622.2,33.3
曜:木,ジャグラーガールズSS,145,-45.0,33.1
曜:木,Lパチスロ炎炎ノ消防隊2,202,-87.9,32.7
曜:木,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,132,232.6,32.6
曜:木,ゴーゴージャグラー３,290,-68.9,32.1
曜:木,Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE,22,348.5,31.8
曜:木,スマスロ ミリオンゴッド-神々の軌跡-,210,-609.3,31.4
曜:木,Lパチスロからくりサーカス2,96,-247.9,31.2
曜:木,スマスロ ビッグドリーム THE GOLDEN PUSHER,45,-388.9,31.1
曜:木,いざ！番長,55,246.5,30.9
曜:木,Lパチスロ革命機ヴァルヴレイヴ2,167,-36.8,30.5
曜:木,真打 吉宗,138,-475.7,30.4
曜:木,スマスロ ハナビ,126,-169.9,30.2
曜:木,スマスロ ゴブリンスレイヤーⅡ,24,12.0,29.2
曜:木,プリズムナナ,38,-184.6,28.9
曜:木,L ＨＥＹ！エリートサラリーマン鏡,45,-68.1,28.9
曜:木,スマスロ化物語,174,-5.1,28.7
曜:木,スマスロ鉄拳6,77,-67.9,28.6
曜:木,クランキークレスト,46,-101.6,28.3
曜:木,L戦国乙女5 業火を穿つ宿焔の双刃,121,-586.7,28.1
曜:木,スマスロ 沖ドキ!DUO アンコール,164,-465.3,28.0
曜:木,スロット ワールドダイスター,18,26.2,27.8
曜:木,スマスロ ストリートファイター6,29,-368.0,27.6
曜:木,スマスロヨルムンガンド,26,-400.4,26.9
曜:木,スマスロ スーパーブラックジャック,85,23.2,25.9
曜:木,L範馬刃牙,16,-320.9,25.0
曜:木,L無職転生～異世界行ったら本気だす～,50,-326.2,24.0
曜:木,スマスロ秘宝伝,38,40.7,23.7
曜:木,パチスロ　甲鉄城のカバネリ,59,-209.7,23.7
曜:木,スマスロ 東京リベンジャーズ,143,60.0,22.4
曜:木,クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,18,-69.0,22.2
曜:木,スマスロ新鬼武者3,100,-191.8,22.0
曜:木,スマスロ シャーマンキング,57,-24.0,21.1
曜:木,スマスロ バイオハザードRE:3,91,-464.2,20.9
曜:木,Lパチスロ戦姫絶唱シンフォギア 正義の歌,20,-261.1,20.0
曜:木,Lソードアート・オンライン,117,134.4,19.7
曜:木,スマスロ スーパーリオエース2,77,-347.5,18.2
曜:木,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,87,-69.7,16.1
曜:木,L南国育ち SPECIAL,20,-773.5,15.0
