daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
3052,Lソードアート・オンライン,19,524.4,52.6,4008,4008,0.394
3105,,19,822.3,36.8,8231,-1499,0.39
2155,Lスマスロ北斗の拳,20,556.0,50.0,9115,-898,0.389
2136,マイジャグラーV,21,409.7,57.1,2890,-494,0.388
3047,パチスロ　甲鉄城のカバネリ,21,595.6,47.6,5095,1606,0.387
2258,スマスロモンキーターンV,20,739.6,40.0,5004,2704,0.385
2129,マイジャグラーV,19,377,57.9,3393,3393,0.384
2134,マイジャグラーV,19,273.8,63.2,2006,305,0.384
3029,パチスロ　ディスクアップ２,20,320.4,60.0,3202,-190,0.38
2107,ネオアイムジャグラーEX,20,390.5,55.0,3697,2112,0.373
3098,,19,753.7,36.8,7402,-793,0.373
3108,,19,421.1,52.6,4406,-2704,0.368
2028,マイジャグラーV,21,409.5,52.4,3897,1203,0.364
2056,ゴーゴージャグラー３,20,356.9,55.0,2512,2004,0.364
2061,L戦国乙女４　戦乱に閃く炯眼の軍師,20,649.4,40.0,9688,207,0.362
3111,,19,705.7,36.8,8003,1721,0.361
2014,マイジャグラーV,20,340.1,55.0,3696,701,0.36
2024,マイジャグラーV,21,296.4,57.1,2313,904,0.36
2112,ネオアイムジャグラーEX,19,384.1,52.6,2918,0,0.359
3151,,19,384.2,52.6,3709,3195,0.359
2230,Lパチスロからくりサーカス2,20,532.9,45.0,14320,2811,0.358
2232,Lパチスロからくりサーカス2,20,529.9,45.0,9943,-2104,0.357
2153,マイジャグラーV,21,282.2,57.1,2703,108,0.356
2017,マイジャグラーV,20,520.6,45.0,4009,-394,0.355
2025,マイジャグラーV,19,360.8,52.6,3116,2916,0.353
2044,ウルトラミラクルジャグラー,21,267.2,57.1,3308,601,0.353
3096,,19,359.4,52.6,3620,-1991,0.353
3109,いざ！番長,19,565.5,42.1,7009,3892,0.352
3033,バーサスリヴァイズ,20,303.9,55.0,3697,108,0.351
3043,この素晴らしい世界に祝福を！,20,385.7,50.0,4103,404,0.346
2081,,19,530.8,42.1,6499,-4196,0.343
2030,マイジャグラーV,19,210.3,57.9,2802,2004,0.342
2186,L虚構推理,19,317,52.6,5492,5492,0.342
2029,マイジャグラーV,21,406.0,47.6,4705,1008,0.34
3103,,19,508,42.1,10738,-2707,0.338
2053,ゴーゴージャグラー３,19,401,47.4,3410,3410,0.337
2199,,19,399.2,47.4,10342,-3802,0.337
3149,,19,294.8,52.6,4502,-3797,0.337
2027,マイジャグラーV,22,155.0,59.1,1807,510,0.334
2120,ネオアイムジャグラーEX,21,477.8,42.9,3308,-690,0.334
2211,,19,597.7,36.8,8891,8891,0.334
2116,ネオアイムジャグラーEX,20,331.1,50.0,2401,1904,0.333
3159,沖ドキ！ＧＯＬＤ-30,20,226.3,55.0,2717,-297,0.332
2244,L東京喰種,20,424.2,45.0,6509,2627,0.331
2033,ゴーゴージャグラー３,21,367.8,47.6,3201,-698,0.33
3030,パチスロ　ディスクアップ２,19,163.7,57.9,1914,607,0.33
2198,,19,367.2,47.4,7503,-3382,0.329
2108,ネオアイムジャグラーEX,20,308.2,50.0,1913,-92,0.327
2213,,19,460.5,42.1,7742,3904,0.326
3056,L少女☆歌劇 レヴュースタァライト -The SLOT-,19,451.2,42.1,4303,-599,0.323
3027,アニマルスロット ドッチ,19,131.5,57.9,3312,-1695,0.322
2067,,19,547.8,36.8,7104,4309,0.321
2278,Lパチスロからくりサーカス2,21,427.0,42.9,6224,-3493,0.321
2264,スマスロモンキーターンV,19,222.1,52.6,3814,3814,0.319
3048,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,22,183.5,54.5,3813,1112,0.319
2226,,19,221,52.6,5413,3195,0.318
2241,,19,430.8,42.1,9482,-1510,0.318
3032,パチスロ　ディスクアップ２,20,470.2,40.0,4706,2113,0.318
2051,ジャグラーガールズSS,20,365.9,45.0,4708,1202,0.316
2204,Lパチスロ炎炎ノ消防隊2,21,405.5,42.9,5290,-390,0.316
2041,ミスタージャグラー,21,309.6,47.6,3702,-394,0.315
3042,この素晴らしい世界に祝福を！,22,521.5,36.4,4202,0,0.312
3141,,19,512.4,36.8,5601,2897,0.312
2063,戦国コレクション6,20,343.7,45.0,8284,8284,0.311
2105,ネオアイムジャグラーEX,21,101.8,57.1,3315,106,0.311
2111,ネオアイムジャグラーEX,20,245.9,50.0,2205,-391,0.311
2011,ネオアイムジャグラーEX,21,281.8,47.6,3813,-792,0.309
2127,ネオアイムジャグラーEX,20,234,50.0,2403,702,0.308
2135,マイジャグラーV,21,279.8,47.6,2602,604,0.308
2234,,19,284,47.4,11776,-2104,0.308
3148,,19,283,47.4,6899,709,0.308
2156,Lスマスロ北斗の拳,21,84.1,57.1,4504,-2399,0.307
2154,Lスマスロ北斗の拳,20,220.8,50.0,3390,105,0.305
2257,スマスロモンキーターンV,19,378.9,42.1,9299,4322,0.305
3038,パチスロ戦国恋姫,19,379.9,42.1,3696,2008,0.305
2087,L不二子BT,21,167.1,52.4,5003,1209,0.304
2259,スマスロモンキーターンV,20,115.5,55.0,4904,-1598,0.304
2262,スマスロモンキーターンV,20,215.4,50.0,3808,503,0.304
2055,ゴーゴージャグラー３,20,310.3,45.0,3613,-298,0.303
2110,ネオアイムジャグラーEX,20,210.6,50.0,2401,-90,0.303
2082,,19,456.2,36.8,8287,-3687,0.298
2084,スマスロケロット5BT,20,84.9,55.0,1109,208,0.296
3034,バーサスリヴァイズ,21,134.5,52.4,2516,509,0.296
2023,マイジャグラーV,21,316.0,42.9,2803,-697,0.293
2206,,19,539.1,31.6,12921,-1198,0.293
2035,ゴーゴージャグラー３,21,215.4,47.6,3209,1204,0.292
2132,マイジャグラーV,21,217.3,47.6,3005,504,0.292
2193,,19,430.6,36.8,6494,2404,0.292
3144,スマート沖スロ ニューキングハナハナV,19,216,47.4,2115,310,0.291
2221,,19,-132.8,57.9,3510,2004,0.289
2078,,19,202.2,47.4,7805,-2599,0.287
2114,ネオアイムジャグラーEX,19,200.5,47.4,3310,-1396,0.287
2242,,19,512.7,31.6,14231,-7899,0.286
2052,ゴーゴージャグラー３,21,182.7,47.6,3121,-198,0.284
2219,,19,75.5,52.6,12912,591,0.282
2249,L東京喰種,19,285,42.1,6807,-387,0.282
3024,Lパチスロうみねこのなく頃に2,20,29.8,55.0,1519,1519,0.282
2005,ハッピージャグラーＶＩＩＩ,19,387.7,36.8,3897,0,0.281
2021,マイジャグラーV,21,72.6,52.4,2508,-1293,0.28
2176,L虚構推理,21,264.6,42.9,9229,507,0.28
2001,ハッピージャグラーＶＩＩＩ,19,168.3,47.4,2313,0,0.279
3106,,19,378.5,36.8,8317,-191,0.279
2128,マイジャグラーV,20,110.3,50.0,2718,-1298,0.278
2194,,19,373.6,36.8,9419,2706,0.278
2060,L戦国乙女４　戦乱に閃く炯眼の軍師,19,472.3,31.6,11774,-1297,0.276
3158,沖ドキ！ＧＯＬＤ-30,20,4.7,55.0,2005,-1186,0.276
2280,Lパチスロからくりサーカス2,20,393.6,35.0,11196,-2793,0.273
2130,マイジャグラーV,20,186.4,45.0,2319,2115,0.272
2131,マイジャグラーV,20,86,50.0,2515,-797,0.272
2222,,19,230.8,42.1,8224,-994,0.268
3059,Lバンドリ！,20,360.8,35.0,15032,15032,0.265
2125,ネオアイムジャグラーEX,20,155.8,45.0,2602,510,0.264
3146,,19,-207.3,52.6,6491,2001,0.263
2148,マイジャグラーV,21,91.5,47.6,3119,3119,0.261
2203,Lパチスロ炎炎ノ消防隊2,21,281.9,38.1,4109,4109,0.261
2062,戦国コレクション6,19,198.4,42.1,10982,-2103,0.26
3039,コードギアス反逆のルルーシュ３ C.C.&Kallen ver.,19,195.7,42.1,3510,2316,0.259
2004,ハッピージャグラーＶＩＩＩ,19,294.2,36.8,4607,-1391,0.258
2066,,19,289.6,36.8,5831,1701,0.257
2142,マイジャグラーV,21,72.9,47.6,2115,-290,0.256
3089,L真・一騎当千,20,325.4,35.0,7908,-1195,0.256
3138,,19,73.4,47.4,1907,-1198,0.255
3094,,19,276.4,36.8,6890,-2392,0.253
3136,,19,64.2,47.4,2610,204,0.253
2057,ゴーゴージャグラー３,20,-89.1,50.0,1908,-1592,0.25
3155,沖ドキ！ＧＯＬＤ-30,20,-262.5,50.0,3003,1307,0.25
3022,,19,42.2,47.4,2409,1410,0.247
2150,マイジャグラーV,22,75.7,45.5,2893,-597,0.246
2045,ウルトラミラクルジャグラー,21,123.9,42.9,4005,4005,0.245
2059,L戦国乙女４　戦乱に閃く炯眼の軍師,20,279.6,35.0,14313,1113,0.245
2040,ファンキージャグラー２ＫＴ,20,75.8,45.0,2118,2115,0.244
2169,,19,133.5,42.1,5610,-1990,0.244
2246,L東京喰種,19,29,47.4,4310,3010,0.244
3035,バーサスリヴァイズ,20,174.8,40.0,3507,2912,0.244
3026,スマスロBIRDIE WING-Golf Girls’ Story-,19,236.5,36.8,7029,-1899,0.243
2210,,19,230.1,36.8,5824,-2504,0.242
2123,ネオアイムジャグラーEX,20,256.6,35.0,6227,-396,0.239
2089,A-SLOT+異世界かるてっとBT,21,-23.2,47.6,2008,-1495,0.238
3152,沖ドキ！ＧＯＬＤ-30,21,-246.9,47.6,4601,-3491,0.238
3154,沖ドキ！ＧＯＬＤ-30,21,-73.0,47.6,5411,907,0.238
2047,ジャグラーガールズSS,19,-14.9,47.4,2719,-294,0.237
2235,,19,-242.3,47.4,7884,-395,0.237
2272,,19,-38.1,47.4,5800,604,0.237
2279,Lパチスロからくりサーカス2,19,-266.9,47.4,8286,-3109,0.237
3021,,19,-83,47.4,3620,-797,0.237
3140,,19,-74.9,47.4,1809,207,0.237
2144,マイジャグラーV,20,139.6,40.0,3803,-1298,0.235
2032,ゴーゴージャグラー３,20,35.3,45.0,1907,804,0.234
2145,マイジャグラーV,20,234.8,35.0,4501,-897,0.234
2126,ネオアイムジャグラーEX,20,220.5,35.0,2717,0,0.23
2138,マイジャグラーV,20,116.0,40.0,2121,508,0.229
2254,L東京喰種,20,217.7,35.0,9230,-3880,0.229
2013,ネオアイムジャグラーEX,20,-214.5,45.0,1408,307,0.225
2038,ファンキージャグラー２ＫＴ,20,-108.5,45.0,3704,3704,0.225
2121,ネオアイムジャグラーEX,20,-108.5,45.0,2805,-1493,0.225
2146,マイジャグラーV,20,-21,45.0,2004,504,0.225
2151,マイジャグラーV,20,-41.4,45.0,3195,1704,0.225
2243,L東京喰種,20,-549.2,45.0,5020,-3999,0.225
2256,スマスロモンキーターンV,20,-120.2,45.0,4787,1105,0.225
2034,ゴーゴージャグラー３,20,95.2,40.0,1716,-394,0.224
2103,ネオアイムジャグラーEX,21,30.3,42.9,3006,-1499,0.222
2147,マイジャグラーV,20,87.2,40.0,1716,1102,0.222
2163,,19,44.7,42.1,8502,-3393,0.222
2015,マイジャグラーV,20,85.8,40.0,2805,-298,0.221
2009,ネオアイムジャグラーEX,21,110.4,38.1,2401,1904,0.218
2071,,19,135.6,36.8,8501,8501,0.218
2049,ジャグラーガールズSS,21,5.6,42.9,1610,708,0.216
2046,ウルトラミラクルジャグラー,21,-74.5,42.9,3908,-390,0.214
2050,ジャグラーガールズSS,22,127.2,36.4,3003,-296,0.214
2064,戦国コレクション6,21,-442.0,42.9,4807,4807,0.214
2113,ネオアイムジャグラーEX,20,156.8,35.0,2320,0,0.214
2124,ネオアイムジャグラーEX,21,-51.8,42.9,2403,-1192,0.214
2143,マイジャグラーV,21,-199.5,42.9,2112,501,0.214
3025,Lラブ嬢3～Wご指名はいかがですか?～,21,-238,42.9,1802,-294,0.214
3037,新ハナビ,22,29.2,40.9,2515,-695,0.212
3050,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,20,149.8,35.0,3813,-99,0.212
3099,,19,216,31.6,11420,-1391,0.212
2079,,19,-95.5,42.1,7730,601,0.211
2139,マイジャグラーV,19,-41.7,42.1,1603,504,0.211
2183,,19,-581.4,42.1,2399,-2308,0.211
3044,,19,-11.3,42.1,3114,901,0.211
3062,,19,-90,42.1,1610,701,0.211
3150,,19,-142,42.1,6494,-1992,0.211
3156,沖ドキ！ＧＯＬＤ-30,19,-447.9,42.1,3896,-2501,0.211
2266,スマスロモンキーターンV,20,26.8,40.0,4516,507,0.207
2118,ネオアイムジャグラーEX,20,14.7,40.0,2208,-793,0.204
2054,ゴーゴージャグラー３,20,-349.8,40.0,806,-1092,0.2
2159,Lスマスロ北斗の拳,20,-361.2,40.0,2513,-1292,0.2
3049,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,20,-141.6,40.0,3393,603,0.2
3060,,19,61.7,36.8,2205,-890,0.2
3153,沖ドキ！ＧＯＬＤ-30,20,-358.9,40.0,2714,-4991,0.2
3160,沖ドキ！ＧＯＬＤ-30,20,-774.5,40.0,1710,-1392,0.2
2068,,19,47.4,36.8,6494,-99,0.196
2267,,19,42.5,36.8,3814,-1691,0.195
3036,新ハナビ,19,36.2,36.8,1006,-795,0.193
3107,,19,31.7,36.8,2802,805,0.192
2073,スマスロ化物語,21,-276.2,38.1,2813,810,0.19
2102,ネオアイムジャグラーEX,21,-267.5,38.1,3316,-1698,0.19
2109,ネオアイムジャグラーEX,21,-110.3,38.1,3315,3315,0.19
3061,,19,126.9,31.6,2608,2006,0.19
2216,,19,16.5,36.8,6408,-1504,0.188
2086,SHAKE BONUS TRIGGER,19,10.3,36.8,3702,-296,0.187
3045,,19,6.9,36.8,3118,2518,0.186
2197,,19,2.2,36.8,4910,-3107,0.185
2065,,19,-232.1,36.8,7307,7307,0.184
2070,,19,-25.8,36.8,3622,3199,0.184
2085,クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,19,-84.4,36.8,1904,201,0.184
2093,,19,-670.9,36.8,8502,-2905,0.184
2188,L邪神ちゃんドロップキック,19,-467.7,36.8,7208,7208,0.184
2190,,19,-506.6,36.8,3391,-2194,0.184
2208,,19,-26.5,36.8,9938,-1390,0.184
2214,,19,-349.6,36.8,9107,-4394,0.184
2224,,19,-695.1,36.8,5517,4093,0.184
2228,,19,-452.3,36.8,3898,-796,0.184
2248,L東京喰種,19,-78.5,36.8,7501,3803,0.184
2263,スマスロモンキーターンV,19,-120.8,36.8,7028,-1099,0.184
2271,,19,-100.5,36.8,5603,112,0.184
3028,L ULTRAMAN 最終決戦,19,-320.6,36.8,1309,-1595,0.184
3090,L少女☆歌劇 レヴュースタァライト -The SLOT-,19,-178.3,36.8,2908,-3886,0.184
3091,,19,-404.3,36.8,2699,-195,0.184
3101,,19,-259.5,36.8,6096,-2506,0.184
