日付タイプ,model,延べ台日,平均差枚,勝率%
曜:金,Lパチスロ彼女、お借りします,10,-1068.0,30.0
曜:金,真打 吉宗,55,-388.6,29.1
曜:金,Lパチスロからくりサーカス2,66,-140.5,28.8
曜:金,スマスロ ストリートファイター6,28,-958.9,28.6
曜:金,戦国コレクション6,18,-406.4,27.8
曜:金,スマスロケロット5BT,18,-136.6,27.8
曜:金,スマスロ サンダーV,22,-269.5,27.3
曜:金,スマスロモンキーターンV,55,-481.7,27.3
曜:金,スマスロ ミリオンゴッド-神々の軌跡-,69,-738.6,24.6
曜:金,スマスロヨルムンガンド,16,10.8,18.8
曜:金,スマスロ バイオハザードRE:3,27,-220.2,18.5
曜:金,スマスロ 攻殻機動隊,12,-610.0,16.7
曜:金,スマスロ化物語,18,-931.3,16.7
曜:金,スマスロ やじきた道中記参る！,21,-1266.3,14.3
曜:金,スロット ワールドダイスター,14,-2041.9,7.1
曜:金,スマスロ ビッグドリーム THE GOLDEN PUSHER,16,-843.8,6.2
曜:金,Lタクトオーパス デスティニー,8,-679.2,0.0
末尾:0,ジャグラーガールズSS,32,126.6,56.2
末尾:0,戦国コレクション6,12,263.2,50.0
末尾:0,ネオアイムジャグラーEX,40,48.4,45.0
末尾:0,ファンキージャグラー２ＫＴ,64,-70.0,43.8
末尾:0,ウルトラミラクルジャグラー,32,116.2,43.8
末尾:0,L東京喰種,62,208.7,43.5
末尾:0,スマスロBIRDIE WING-Golf Girls’ Story-,12,-69.2,41.7
末尾:0,スマスロ ハナビ,30,63.2,40.0
末尾:0,Lパチスロ彼女、お借りします,10,-358.0,40.0
末尾:0,スロット ソードアート・オンラインⅡ,40,-324.0,37.5
末尾:0,いざ！番長,24,-337.2,37.5
末尾:0,マイジャグラーV,128,-139.9,36.7
末尾:0,スマスロ とある魔術の禁書目録2,25,-521.0,36.0
末尾:0,Lスマスロ北斗の拳,48,-246.9,35.4
末尾:0,スマスロ北斗の拳 転生の章2,92,-47.5,34.8
末尾:0,スマスロ 攻殻機動隊,9,-289.0,33.3
末尾:0,スマスロ化物語,12,-512.8,33.3
末尾:0,スマスロ スーパーリオエース2,24,-216.8,33.3
末尾:0,Lパチスロ炎炎ノ消防隊2,27,-97.0,33.3
末尾:0,Lパチスロからくりサーカス2,48,-816.5,33.3
末尾:0,スマスロ サンダーV,16,-275.8,31.2
末尾:0,スマスロ リコリス・リコイル,16,199.5,31.2
末尾:0,スロット ワールドダイスター,10,-604.6,30.0
末尾:0,L戦国乙女5 業火を穿つ宿焔の双刃,48,-183.4,29.2
末尾:0,ミスタージャグラー,32,-132.5,28.1
末尾:0,スマスロ ミリオンゴッド-神々の軌跡-,50,84.6,28.0
末尾:0,ゴーゴージャグラー３,48,-235.5,27.1
末尾:0,スマスロ 甲鉄城のカバネリ 海門決戦,52,-436.8,26.9
末尾:0,スマスロケロット5BT,12,-479.2,25.0
末尾:0,スマスロ ストリートファイター6,20,213.6,25.0
末尾:0,スマスロモンキーターンV,40,-401.0,22.5
末尾:0,スマスロ バイオハザードRE:3,18,-405.2,22.2
末尾:0,ハッピージャグラーＶＩＩＩ,24,-510.5,20.8
末尾:0,真打 吉宗,40,-1085.1,20.0
末尾:0,スマスロ やじきた道中記参る！,15,-1300.0,20.0
末尾:0,スマスロ ビッグドリーム THE GOLDEN PUSHER,12,-308.0,16.7
