daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
2087,スマスロ化物語,197,131.9,36.5,12691,,0.216
2152,Lソードアート・オンライン,199,-27.4,43.2,7027,,0.216
2171,スマスロ化物語,198,152.7,35.4,11400,1601,0.215
3046,,198,22.0,41.9,4202,110,0.215
3125,,200,0.8,43.0,3710,1916,0.215
3139,Lバンドリ！,201,54.0,40.3,11597,11597,0.215
4022,,198,83.2,38.9,13092,3810,0.215
3149,,199,69.8,39.2,18833,,0.213
2003,,199,54.0,39.7,12371,,0.212
3071,,198,-19.4,42.4,10032,,0.212
4018,スマスロ 攻殻機動隊,200,97.7,37.5,11401,0,0.212
2083,,197,83.0,38.1,12526,,0.211
2132,L戦国乙女5 業火を穿つ宿焔の双刃,198,155.7,34.3,16313,,0.211
3035,,199,-6.1,42.2,3795,607,0.211
3074,,197,40.8,40.1,13067,,0.211
4081,L東京喰種,197,-18.7,42.1,10537,,0.211
4136,,197,-82.2,42.1,14222,,0.211
2017,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,200,41.7,40.0,7902,,0.21
3108,,200,11.7,41.5,4802,202,0.21
4026,L不二子BT,197,76.8,38.1,14497,,0.21
3007,,197,86.0,37.6,18355,7520,0.209
4156,L東京喰種,198,26.3,40.4,12180,,0.209
2164,,197,-53.3,41.6,12711,,0.208
4012,,199,42.8,39.2,10099,,0.207
2060,,204,89.0,36.8,14124,-2310,0.206
2096,,199,-53.2,41.2,13338,4097,0.206
4129,,200,155.2,33.5,13420,705,0.206
2069,Lスマスロとある魔術の禁書目録,201,53.7,38.3,9129,2718,0.205
2114,L戦国乙女5 業火を穿つ宿焔の双刃,196,76.0,37.2,16701,,0.205
3092,,200,38.3,39.0,11937,3703,0.205
3140,Lバンドリ！,204,106.3,35.8,12137,-2309,0.205
2005,,199,-15.7,40.7,9887,,0.204
2177,,199,-20.8,40.7,10980,5027,0.204
3053,,199,-103.0,40.7,6802,308,0.204
3133,L不二子BT,196,-10.8,40.8,6313,,0.204
4121,回胴式遊技機グランベルム,199,-17.3,40.7,8726,,0.204
4128,,199,62.4,37.7,12218,,0.204
2010,,204,-443.6,40.7,8989,3617,0.203
2051,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,200,-33.0,40.5,8506,,0.203
2167,,199,47.4,38.2,14314,5603,0.203
3130,,204,-2.9,40.7,4805,-490,0.203
4070,スマスロ 甲鉄城のカバネリ 海門決戦,204,-61.8,40.7,9781,-999,0.203
4148,Lパチスロガールズ＆パンツァー 最終章,198,55.5,37.9,11631,,0.203
2056,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,198,1.3,40.4,9008,,0.202
4024,,196,44.7,38.3,9604,2904,0.202
4028,スマスロ アイドルマスター ミリオンライブ！ネクストプロローグ,198,48.7,37.9,10241,,0.202
2094,,199,-284.6,40.2,12532,1805,0.201
2102,Lソードアート・オンライン,200,33.0,38.5,8787,8787,0.201
2110,L戦国乙女5 業火を穿つ宿焔の双刃,204,-81.5,40.2,16004,-906,0.201
2143,L戦国乙女5 業火を穿つ宿焔の双刃,199,-5.2,40.2,10804,,0.201
2155,Lソードアート・オンライン,199,-64.5,40.2,8831,,0.201
3070,,204,41.1,38.2,12606,1404,0.201
4093,,199,49.4,37.7,10315,5029,0.201
4120,回胴式遊技機グランベルム,204,-108.9,40.2,6831,1301,0.201
2071,Lスマスロとある魔術の禁書目録,202,-52.9,40.1,10098,3203,0.2
