日付タイプ,model,延べ台日,平均差枚,勝率%
曜:日,ウルトラミラクルジャグラー,56,22.2,50.0
曜:日,ハッピージャグラーＶＩＩＩ,58,228.2,50.0
曜:日,スマート沖スロ ニューキングハナハナV,68,311.8,50.0
曜:日,ローティス,8,593.2,50.0
曜:日,キングハナハナ-30,140,416.6,49.3
曜:日,マイジャグラーV,672,149.9,49.1
曜:日,沖ドキ！ＧＯＬＤ-30,224,-131.5,48.7
曜:日,L主役は銭形5,33,599.3,48.5
曜:日,沖ドキ！ＧＯＬＤ,21,-304.1,47.6
曜:日,L ToLOVEるダークネス TRANCE ver.8.7,42,511.1,47.6
曜:日,スマスロ モンスターハンターライズ,42,1034.1,47.6
曜:日,ヤバチバ,21,1153.3,47.6
曜:日,沖ドキ！BLACK,56,-614.1,46.4
曜:日,Lアズールレーン THE ANIMATION,39,1386.8,46.2
曜:日,ニューキングハナハナV‐30,42,349.0,45.2
曜:日,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,84,425.9,45.2
曜:日,Lパチスロ革命機ヴァルヴレイヴ2,49,272.0,44.9
曜:日,ファンキージャグラー２ＫＴ,110,72.0,44.5
曜:日,スマスロ新鬼武者3,18,892.6,44.4
曜:日,真打 吉宗,84,-6.0,42.9
曜:日,Lパチスロ かぐや様は告らせたい,28,735.8,42.9
曜:日,戦国コレクション6,21,-534.3,42.9
曜:日,スマスロとある科学の超電磁砲2,12,505.3,41.7
曜:日,スマスロBIRDIE WING-Golf Girls’ Story-,12,97.0,41.7
曜:日,スロット ソードアート・オンラインⅡ,82,-141.0,41.5
曜:日,スマスロ 攻殻機動隊,56,949.7,41.1
曜:日,スマスロモンキーターンV,113,483.6,40.7
曜:日,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,42,380.6,40.5
曜:日,L戦国乙女４　戦乱に閃く炯眼の軍師,50,516.1,40.0
曜:日,スマスロ とある魔術の禁書目録2,15,-570.0,40.0
曜:日,沖ドキ!ゴージャス 30Φ,98,-677.9,39.8
曜:日,L戦国乙女5 業火を穿つ宿焔の双刃,88,-322.5,39.8
曜:日,Lラブ嬢3～Wご指名はいかがですか?～,28,-66.6,39.3
曜:日,スマスロ北斗の拳 転生の章2,181,519.8,39.2
曜:日,いざ！番長,42,833.8,38.1
曜:日,スマスロ化物語,69,384.2,37.7
曜:日,L東京喰種,245,-113.3,37.1
曜:日,Lパチスロ炎炎ノ消防隊2,84,73.9,36.9
曜:日,Lパチスロうみねこのなく頃に2,22,76.8,36.4
曜:日,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,50,566.6,36.0
曜:日,チバリヨ2,42,407.5,35.7
曜:日,スマスロ ミリオンゴッド-神々の軌跡-,140,-131.0,35.7
曜:日,スマスロ スーパーリオエース2,56,-101.6,35.7
曜:日,スマスロ 甲鉄城のカバネリ 海門決戦,193,-286.4,35.2
曜:日,Lスマスロ北斗の拳,90,68.0,34.4
曜:日,スマスロ鉄拳6,12,147.3,33.3
曜:日,Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE,9,-305.3,33.3
曜:日,プリズムナナ,12,398.8,33.3
曜:日,スマスロ やじきた道中記参る！,12,-661.3,33.3
曜:日,スマスロ バイオハザードRE:3,60,-434.7,30.0
曜:日,Lパチスロからくりサーカス2,64,-423.3,29.7
曜:日,スマスロ ゴッドイーター リザレクション,42,278.8,28.6
曜:日,スマスロヨルムンガンド,14,-230.6,28.6
曜:日,スマスロ 沖ドキ!DUO アンコール,50,-540.8,28.0
曜:日,A-SLOT+ ディスクアップ ULTRAREMIX,22,-152.5,27.3
