日付タイプ,model,延べ台日,平均差枚,勝率%
曜:日,L戦国乙女5 業火を穿つ宿焔の双刃,257,0.0,48.2
曜:日,L戦国乙女４　戦乱に閃く炯眼の軍師,25,-0.2,48.0
曜:日,A-SLOT+異世界かるてっとBT,40,-0.1,47.5
曜:日,ミスタージャグラー,28,-0.1,46.4
曜:日,スマスロ ハナビ,35,-0.1,45.7
曜:日,Lひぐらしのなく頃に業,35,-0.1,45.7
曜:日,スーパーリオエース2,27,752.0,44.4
曜:日,L東京喰種,105,-0.1,43.8
曜:日,スマスロ バイオハザードRE:3,23,-0.4,43.5
曜:日,L少女☆歌劇 レヴュースタァライト -The SLOT-,70,-0.1,42.9
曜:日,Lパチスロ革命機ヴァルヴレイヴ2,35,-0.1,42.9
曜:日,スマスロ サンダーV,35,-0.1,42.9
曜:日,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,28,0.0,42.9
曜:日,スマスロBIRDIE WING-Golf Girls’ Story-,21,0.0,42.9
曜:日,L無職転生～異世界行ったら本気だす～,14,-0.1,42.9
曜:日,スマスロケロット5BT,14,-0.1,42.9
曜:日,翔べ！ハーレムエース,14,-0.1,42.9
曜:日,スマート沖スロ ニューキングハナハナV,14,0.0,42.9
曜:日,マイジャグラーV,108,79.7,41.7
曜:日,戦国コレクション6,118,86.2,41.5
曜:日,Lソードアート・オンライン,34,-0.0,41.2
曜:日,スマスロ やじきた道中記参る！,17,-0.3,41.2
曜:日,スマスロ 甲鉄城のカバネリ 海門決戦,192,0.0,40.1
曜:日,スマスロ ゴッドイーター リザレクション,20,-0.2,40.0
曜:日,モンキーターンV,10,247.0,40.0
曜:日,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,210,0.0,39.5
曜:日,Lバンドリ！,84,-0.3,39.3
曜:日,スマスロとある科学の超電磁砲2,23,-0.2,39.1
曜:日,アレックス ブライト,31,-0.3,38.7
曜:日,邪神ちゃんドロップキック,13,1154.7,38.5
曜:日,Lパチスロ炎炎ノ消防隊2,47,0.0,38.3
