daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
424,クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,31,952.5,96.8,3722,,0.722
459,マイジャグラーV,26,855.7,100.0,2986,,0.714
463,マイジャグラーV,25,853.6,100.0,2500,,0.713
462,マイジャグラーV,34,841.3,100.0,3764,,0.71
403,マイジャグラーV,24,818.5,100.0,3167,,0.705
409,ファンキージャグラー２ＫＴ,30,804.0,100.0,3445,,0.701
551,,28,1162.4,82.1,8312,0,0.701
406,ファンキージャグラー２ＫＴ,20,800.4,100.0,2427,1520,0.7
427,スマスロ ハナビ,31,784.8,100.0,4521,198,0.696
402,マイジャグラーV,30,781.6,100.0,3472,,0.695
405,マイジャグラーV,29,832.2,96.6,3083,750,0.691
456,ゴーゴージャグラー３,34,736.3,100.0,4667,2385,0.684
453,ウルトラミラクルジャグラー,40,718.8,100.0,3306,161,0.68
401,マイジャグラーV,26,716.5,100.0,4139,,0.679
454,ゴーゴージャグラー３,27,788.7,96.3,2989,,0.679
544,ゴーゴージャグラー３,23,875.4,91.3,3403,609,0.675
461,マイジャグラーV,28,694.4,96.4,2514,,0.656
404,マイジャグラーV,29,774.4,89.7,3250,187,0.642
413,回胴式遊技機グランベルム,31,863.8,74.2,4021,,0.587
449,バーサスリヴァイズ,26,392,84.6,1427,219,0.521
415,この素晴らしい世界に祝福を！,39,672.1,59.0,5479,,0.463
500,,70,500.2,42.9,17361,590,0.339
120,Lパチスロからくりサーカス2,70,284.4,47.1,11805,-3625,0.307
50,Lパチスロからくりサーカス,70,460.0,34.3,19583,-235,0.286
450,ジャグラーガールズSS,70,97.3,45.7,4479,-380,0.253
510,,70,43.9,45.7,7250,3875,0.24
550,Lパチスロ彼女、お借りします,70,175.0,38.6,17430,521,0.237
470,,70,108,35.7,15208,-209,0.206
540,,70,-350.9,40.0,11805,-630,0.2
520,,70,73.4,35.7,9459,6625,0.197
420,劇場版魔法少女まどか☆マギカ［新編］叛逆の物語,70,-280.6,37.1,5084,-386,0.186
440,L戦国乙女４　戦乱に閃く炯眼の軍師,70,-59.6,37.1,5125,2250,0.186
10,Lパチスロ革命機ヴァルヴレイヴ2,70,-328.0,35.7,10584,-323,0.179
410,ファンキージャグラー２ＫＴ,70,3.7,35.7,4271,-736,0.179
430,,70,-148.8,35.7,7156,1416,0.179
460,マイジャグラーV,70,-87.0,35.7,2945,-78,0.179
490,,70,-318.8,31.4,6812,-208,0.157
530,Lアズールレーン THE ANIMATION,70,-307.6,28.6,10209,-683,0.143
480,L青春ブタ野郎はバニーガール先輩の夢を見ない,70,-786.9,25.7,7500,-2271,0.129
